strategy,symbol,risk,total_return_%,buy_hold_%,sharpe,max_drawdown_%,trades,win_rate_%
round_numbers,btc.v,без риска,58.689972623164664,887.650099126987,0.380692428328493,-62.94811880202295,301,41.86046511627907
round_numbers,btc.v,sl 5%,-17.909313246065107,887.650099126987,0.08227982560653345,-73.66576829600581,309,40.45307443365696
round_numbers,btc.v,sl 5% + trail 10%,-19.369310003912478,887.650099126987,0.07190181524185126,-74.49793053462042,310,40.64516129032258
round_numbers,btc.v,sl 5% + tp 15%,-11.03778962776014,887.650099126987,0.11669520526738665,-75.10374568896987,318,40.25157232704403
rsi_divergence,aapl.us,без риска,173.04318117217136,328.9411329759524,1.281689614836657,-28.256914968048875,4,100.0
rsi_divergence,aapl.us,sl 5%,27.449119757534746,328.9411329759524,0.5938575723442795,-20.768224737721795,5,20.0
rsi_divergence,aapl.us,sl 5% + trail 10%,28.35525664381173,328.9411329759524,0.6099557135237722,-20.204903199943058,5,20.0
rsi_divergence,aapl.us,sl 5% + tp 15%,6.432915916729165,328.9411329759524,0.2095173076903763,-20.768224737721795,6,33.33333333333333
correlation,btc.v,без риска,6.849058965101085,887.650099126987,0.17614255730835562,-57.02658960487492,25,44.0
correlation,btc.v,sl 5%,10.014326880602864,887.650099126987,0.18042041322673383,-49.632759817098396,36,27.77777777777778
correlation,btc.v,sl 5% + trail 10%,23.13911764465979,887.650099126987,0.25653076733403646,-45.80687838906194,40,27.500000000000004
correlation,btc.v,sl 5% + tp 15%,-25.610193452465914,887.650099126987,-0.1338437596712215,-46.766438459082,41,26.82926829268293
