code,variant,total_return_%,buy_hold_%,sharpe,max_drawdown_%,trades,win_rate_%
SiH0,wall_bounce,-2.2041062953510826,23.96400884211838,-2.937318197479375,-5.9531402571608165,55,36.36363636363637
SiH0,wall_pull,8.589192967400216,23.96400884211838,7.0884817047062665,-6.324800162956079,197,50.76142131979695
SiH0,imbalance,-6.8982594219172855,23.96400884211838,-5.351323631799156,-10.132263362860705,394,51.776649746192895
SiH0,WF ensemble,-8.12636431972219,,-20.940232987650838,-9.050800775265088,98,
SiH0,WF ens+gate,-0.2929930339856779,,-1.3871743489957724,-2.6941041513571906,16,
SiH0,WF specialzd,-1.9894556567022548,,-5.182268281081307,-6.524163375959102,43,
SiM0,wall_bounce,-3.009924062193625,-12.644591611479028,-1.797082391571001,-6.755934269176633,159,40.88050314465409
SiM0,wall_pull,-2.438496929854095,-12.644591611479028,-1.0106840388529925,-8.790936572020701,765,52.28758169934641
SiM0,imbalance,2.698931217112177,-12.644591611479028,1.2432488222979332,-8.095878189182592,1169,56.287425149700596
SiM0,WF ensemble,4.228748160156015,,2.7294153450868555,-5.481324236209462,753,
SiM0,WF ens+gate,0.9012296430328082,,2.046874951694659,-2.0735748453110325,32,
SiM0,WF specialzd,7.7302512001308,,6.5122474491172495,-2.8926124328014335,152,
SiU0,wall_bounce,1.6939717066482007,7.375679655641143,1.666534156186321,-2.9439974634747124,206,49.029126213592235
SiU0,wall_pull,-4.260678893962099,7.375679655641143,-3.5611312070299106,-5.933871451716111,369,41.734417344173444
SiU0,imbalance,-3.5431433519066746,7.375679655641143,-2.7174934360699443,-5.825680101106723,999,56.45645645645646
SiU0,WF ensemble,-5.879507650511351,,-6.1910315432841,-7.341312925860932,542,
SiU0,WF ens+gate,-0.9559147982529326,,-4.747116124295684,-1.4536085287871536,17,
SiU0,WF specialzd,1.7199077351071956,,2.717384243423469,-2.200299310925169,128,
RIH0,wall_bounce,40.37901003691624,-44.36173685928828,10.509241842981186,-13.433564825857713,192,51.5625
RIH0,wall_pull,-21.611648359285564,-44.36173685928828,-5.690725757400671,-32.27759534326673,787,47.26810673443456
RIH0,imbalance,8.510948037052724,-44.36173685928828,3.0007854963518077,-16.250583079786185,281,51.95729537366548
RIH0,WF ensemble,6.977025568071626,,5.921640305222594,-17.582224108917078,110,
RIH0,WF ens+gate,3.004573313563119,,5.718431504256583,-7.99857076235747,7,
RIH0,WF specialzd,15.787563985054831,,14.315414169801901,-13.160459084398035,18,
RIM0,wall_bounce,-8.152216488363917,30.660276890308836,-1.4219071362055693,-27.91520750305131,253,42.68774703557312
RIM0,wall_pull,17.70629340541725,30.660276890308836,2.9906734518365496,-17.160046040631617,1539,52.11176088369071
RIM0,imbalance,44.56303369018877,30.660276890308836,6.526584229022111,-13.68323022133282,758,56.464379947229546
RIM0,WF ensemble,-0.8269224287918431,,0.05593994158948681,-12.058995014853824,820,
RIM0,WF ens+gate,1.0760504722259867,,1.0405363900153912,-4.233373438445643,49,
RIM0,WF specialzd,6.150158360143254,,2.2690691605917004,-9.491311243358847,199,
RIU0,wall_bounce,-10.15533038148937,2.064505430727137,-5.982107417216255,-12.899447412427524,140,34.285714285714285
RIU0,wall_pull,-11.016176108324894,2.064505430727137,-5.0399065182257905,-13.119333458657344,525,46.095238095238095
RIU0,imbalance,-13.063170570036675,2.064505430727137,-5.874389979926238,-15.339346683920564,527,49.52561669829222
RIU0,WF ensemble,-10.969047529342458,,-6.9764499321463544,-10.991702756984179,384,
RIU0,WF ens+gate,-2.85021072361048,,-4.923525148039796,-3.035986402872526,17,
RIU0,WF specialzd,-8.952848225134524,,-7.793799179896692,-11.577830593195094,131,
