strategy,symbol,stops,total_return_%,buy_hold_%,sharpe,max_drawdown_%,trades,win_rate_%
round_numbers,btc.v,без риска,58.689972623164664,887.650099126987,0.380692428328493,-62.94811880202295,301,41.86046511627907
round_numbers,btc.v,фикс. sl 5%,-17.909313246065107,887.650099126987,0.08227982560653345,-73.66576829600581,309,40.45307443365696
round_numbers,btc.v,ATR 2x,38.39236585740884,887.650099126987,0.31775167106420865,-63.13910790380719,302,41.05960264900662
round_numbers,btc.v,ATR 3x,37.99579288344938,887.650099126987,0.31713521191146404,-64.69764526396993,301,41.52823920265781
round_numbers,btc.v,ATR 3x + tp 6x,63.48866753331637,887.650099126987,0.39450766476407373,-64.69764526396993,302,41.72185430463576
round_numbers,btc.v,ATR 3x + rpt 2%,37.915248552910285,887.650099126987,0.6977165346352432,-13.701208650475639,301,41.52823920265781
rsi_divergence,aapl.us,без риска,173.04318117217136,328.9411329759524,1.281689614836657,-28.256914968048875,4,100.0
rsi_divergence,aapl.us,фикс. sl 5%,27.449119757534746,328.9411329759524,0.5938575723442795,-20.768224737721795,5,20.0
rsi_divergence,aapl.us,ATR 2x,61.62455748257951,328.9411329759524,0.9372630903648118,-23.045794313390022,5,40.0
rsi_divergence,aapl.us,ATR 3x,139.42786836427285,328.9411329759524,1.1622707869583204,-27.37429550331848,4,75.0
rsi_divergence,aapl.us,ATR 3x + tp 6x,82.61057348537109,328.9411329759524,1.1542166631032766,-17.03708243617993,6,83.33333333333334
rsi_divergence,aapl.us,ATR 3x + rpt 2%,31.020078259251637,328.9411329759524,1.2059829677520935,-7.249853736717338,4,75.0
