symbol,variant,exec,total_return_%,buy_hold_%,sharpe,max_drawdown_%,trades,win_rate_%
BTCUSDT,wall_bounce,taker,-89.38868968227473,28.111976985901887,-22.09216945197571,-89.71973152749106,2769,45.39544962080173
BTCUSDT,wall_bounce,maker,-42.723549423670235,28.111976985901887,-6.017357399816107,-44.99336049124515,1935,44.651162790697676
BTCUSDT,wall_pull,taker,-99.98112264459171,28.111976985901887,-75.03639392913901,-99.98116654260063,10821,47.04740781813141
BTCUSDT,wall_pull,maker,-90.44768557152989,28.111976985901887,-24.280666608448527,-90.50249185846626,6198,42.5459825750242
BTCUSDT,imbalance,taker,-99.71477033217272,28.111976985901887,-56.02727620516465,-99.72012559540238,7583,44.90307266253461
BTCUSDT,imbalance,maker,-83.51424937854799,28.111976985901887,-20.283791071781273,-83.88145816432501,4830,39.23395445134575
ETHUSDT,wall_bounce,taker,-93.6800856602887,55.91630996217998,-20.075520164345896,-93.78564440080733,3121,46.97212431912848
ETHUSDT,wall_bounce,maker,-75.85604609593362,55.91630996217998,-11.249991502043368,-76.58148475391964,2512,45.06369426751593
ETHUSDT,wall_pull,taker,-99.94216145666537,55.91630996217998,-49.97512900809982,-99.94303590356462,9072,46.93562610229277
ETHUSDT,wall_pull,maker,-92.25303839771651,55.91630996217998,-19.21832425249608,-92.51263227115035,6309,44.66634965921699
ETHUSDT,imbalance,taker,-99.34343643869371,55.91630996217998,-36.37391405149497,-99.35398140017993,6006,44.35564435564436
ETHUSDT,imbalance,maker,-84.24788467745256,55.91630996217998,-14.521317833051466,-84.67812748531934,4516,42.537643932683785
SOLUSDT,wall_bounce,taker,-17.09666815494356,28.915515344174093,-2.3093205694280825,-31.17981061596482,389,43.70179948586118
SOLUSDT,wall_bounce,maker,-3.788600699604272,28.915515344174093,-0.36357752742547234,-21.62581289650831,332,42.168674698795186
SOLUSDT,wall_pull,taker,-55.24256422534815,28.915515344174093,-8.233256249535643,-55.24256422534815,937,46.211312700106724
SOLUSDT,wall_pull,maker,-30.94102322659147,28.915515344174093,-3.804789171473062,-35.53463204860306,788,45.431472081218274
SOLUSDT,imbalance,taker,-88.45272304967051,28.915515344174093,-20.014450586976114,-88.66118456326552,2287,44.16265850459117
SOLUSDT,imbalance,maker,-65.16699273801466,28.915515344174093,-10.198916243533926,-66.19099773500152,1992,43.42369477911647
LINKUSDT,wall_bounce,taker,-48.00402783961594,48.94883485309016,-7.455658787159187,-55.88038258640261,486,38.88888888888889
LINKUSDT,wall_bounce,maker,-26.92264256374036,48.94883485309016,-3.6537927424332697,-41.81798125504245,433,39.4919168591224
LINKUSDT,wall_pull,taker,-90.33927931858264,48.94883485309016,-19.99522171356435,-90.68668914559572,3279,49.61878621530955
LINKUSDT,wall_pull,maker,-63.468913422337124,48.94883485309016,-9.186459379111371,-65.47396903002301,2735,47.458866544789764
LINKUSDT,imbalance,taker,-88.69713974119661,48.94883485309016,-18.333800548592002,-88.92281992711719,2907,51.32438940488476
LINKUSDT,imbalance,maker,-57.86251052269462,48.94883485309016,-7.572090794774146,-58.43415452404442,2443,48.38313548915268
LTCUSDT,wall_bounce,taker,-4.967837021000543,24.2212189616253,-1.487150940094213,-7.954437638013401,43,39.53488372093023
LTCUSDT,wall_bounce,maker,-4.318785791498936,24.2212189616253,-1.3286832643192907,-7.20737094212528,40,37.5
LTCUSDT,wall_pull,taker,-14.254003093994672,24.2212189616253,-2.74338669331856,-23.725153262368504,146,40.41095890410959
LTCUSDT,wall_pull,maker,-5.75219334039433,24.2212189616253,-1.0690432055290084,-18.17047112090684,126,40.476190476190474
LTCUSDT,imbalance,taker,-87.20368421151609,24.2212189616253,-20.79747112958523,-87.22427257595075,2439,48.09348093480935
LTCUSDT,imbalance,maker,-59.985461040635755,24.2212189616253,-9.812038896378915,-60.06438604042421,2089,46.72091910004787
ATOMUSDT,wall_bounce,taker,-3.1002023893505593,3.3501896333754777,-0.7051324694021471,-8.686522226056104,51,35.294117647058826
ATOMUSDT,wall_bounce,maker,2.8119904444142474,3.3501896333754777,0.8415058402546202,-5.994825323371089,42,35.714285714285715
ATOMUSDT,wall_pull,taker,-12.647369466006875,3.3501896333754777,-1.762992815388393,-27.18939583351282,183,40.98360655737705
ATOMUSDT,wall_pull,maker,-3.513894056618261,3.3501896333754777,-0.4365967172571319,-22.570544273817205,158,41.77215189873418
ATOMUSDT,imbalance,taker,-76.47480136007594,3.3501896333754777,-9.995003891316351,-77.40234167996087,1918,52.45046923879041
ATOMUSDT,imbalance,maker,-41.55842932774133,3.3501896333754777,-3.6761928601167475,-49.355564112426265,1740,55.28735632183908
