strategy,symbol,total_return_%,buy_hold_%,sharpe,max_drawdown_%,trades,win_rate_%
"round_numbers(level_step_frac=0.05, touch_threshold=0.003)",btc.v,58.689972623164664,887.650099126987,0.380692428328493,-62.94811880202295,301,41.86046511627907
"rsi_divergence(rsi_period=14, pivot_order=5, max_pivot_gap=60)",btc.v,77.55547846647252,887.650099126987,0.4261312178357107,-72.52118820660476,8,75.0
"correlation(pair=eth.v, window=30, entry_z=2.0, exit_z=0.0, min_corr=0.7)",btc.v,6.849058965101085,887.650099126987,0.17614255730835562,-57.02658960487492,25,44.0
"round_numbers(level_step_frac=0.05, touch_threshold=0.003)",eth.v,118.98678022602311,1448.7328208711858,0.4909539025293083,-70.11651103560543,410,46.34146341463415
"rsi_divergence(rsi_period=14, pivot_order=5, max_pivot_gap=60)",eth.v,-40.71584569672842,1448.7328208711858,0.05939441716991019,-80.29656407424145,5,60.0
"correlation(pair=btc.v, window=30, entry_z=2.0, exit_z=0.0, min_corr=0.7)",eth.v,211.47666308782811,1448.7328208711858,0.6131442469510949,-61.16308065351053,30,63.33333333333333
"round_numbers(level_step_frac=0.05, touch_threshold=0.003)",aapl.us,-2.151523917944631,328.9411329759524,0.12562193680250996,-40.5597653157352,135,48.888888888888886
"rsi_divergence(rsi_period=14, pivot_order=5, max_pivot_gap=60)",aapl.us,173.04318117217136,328.9411329759524,1.281689614836657,-28.256914968048875,4,100.0
"correlation(pair=spy.us, window=30, entry_z=2.0, exit_z=0.0, min_corr=0.7)",aapl.us,34.66684052184521,328.9411329759524,0.48784555913069877,-21.152430406881916,10,80.0
"round_numbers(level_step_frac=0.05, touch_threshold=0.003)",spy.us,-2.5862622138212776,153.66855277766626,0.046808176924902904,-26.71330128917102,163,52.14723926380368
"rsi_divergence(rsi_period=14, pivot_order=5, max_pivot_gap=60)",spy.us,84.42631299667478,153.66855277766626,0.9609551301383659,-22.09349179400113,5,60.0
"correlation(pair=aapl.us, window=30, entry_z=2.0, exit_z=0.0, min_corr=0.7)",spy.us,36.230024699456706,153.66855277766626,0.6261764817880426,-16.733287000397713,12,83.33333333333334
