symbol,strategy,n_windows,oos_total_return_%,oos_sharpe,oos_max_drawdown_%,oos_period,total_trades
btc.v,RoundNumberStrategy,14,-38.162036149841825,-0.13755031771315493,-54.743059604532654,2021-05-16–2026-02-27,163
aapl.us,DivergenceStrategy,12,62.641038286266706,1.3750079835187135,-20.67240724216145,2021-08-05–2026-05-14,3
