symbol,start,end,payments,hours,ann_entry,gross,net,year,days
VETUSDT,2021-01-31 08:00:00.000,2021-02-08 00:00:00.000,23,184.0,206.53567954239986,0.041464900000000006,0.03646490000000001,2021,7.666666666666667
VETUSDT,2021-02-09 08:00:00.006,2021-02-15 08:00:00.006,18,144.0,269.6843024561531,0.04871739000000001,0.043717390000000016,2021,6.0
VETUSDT,2021-02-18 08:00:00.000,2021-02-21 08:00:00.012,9,72.00000333333332,251.17558465649364,0.023843439999999997,0.018843439999999996,2021,3.0000001388888884
VETUSDT,2021-03-30 00:00:00.018,2021-04-08 00:00:00.013,27,215.9999986111111,137.073195,0.04154716,0.03654716,2021,8.999999942129628
VETUSDT,2021-04-10 08:00:00.005,2021-04-18 08:00:00.004,24,191.9999997222222,137.97002874375602,0.04432672,0.03932672,2021,7.999999988425926
VETUSDT,2021-09-03 00:00:00.011,2021-09-07 16:00:00.001,14,111.99999722222222,100.31076000000002,0.008112129999999999,0.0031121299999999985,2021,4.6666665509259255
VIRTUALUSDT,2024-12-12 04:00:00.000,2024-12-12 12:00:00.000,2,8.0,115.78092804034222,0.00023595999999999998,-0.00476404,2024,0.3333333333333333
WAXPUSDT,2023-12-09 12:00:00.000,2023-12-10 04:00:00.000,4,16.0,205.84905,0.00100721,-0.00399279,2023,0.6666666666666666
WAXPUSDT,2023-12-26 04:00:00.000,2023-12-26 16:00:00.000,3,12.0,109.34670000000001,0.00087013,-0.00412987,2023,0.5
WAXPUSDT,2024-02-29 20:00:00.000,2024-03-01 12:00:00.000,4,16.0,169.90896,0.0014925599999999998,-0.0035074400000000006,2024,0.6666666666666666
WAXPUSDT,2024-03-02 00:00:00.000,2024-03-06 00:00:00.000,24,96.0,125.83959,0.01321321,0.008213209999999999,2024,4.0
WIFUSDT,2024-01-19 04:00:00.000,2024-01-19 08:00:00.000,1,4.0,179.58219,5e-05,-0.00495,2024,0.16666666666666666
WIFUSDT,2024-01-22 04:00:00.001,2024-01-23 08:00:00.000,7,27.99999972222222,600.2745783142653,0.0070896299999999995,0.0020896299999999994,2024,1.1666666550925926
WIFUSDT,2024-01-23 20:00:00.000,2024-01-24 04:00:00.000,2,8.0,313.07802,-0.0005126100000000001,-0.00551261,2024,0.3333333333333333
WIFUSDT,2024-01-26 04:00:00.001,2024-01-26 16:00:00.000,3,11.999999722222222,158.22312,0.00136927,-0.0036307300000000004,2024,0.4999999884259259
WIFUSDT,2024-02-01 08:00:00.000,2024-02-01 12:00:00.000,1,4.0,205.86875999999998,6.355e-05,-0.00493645,2024,0.16666666666666666
WIFUSDT,2024-02-04 08:00:00.004,2024-02-05 08:00:00.000,6,23.99999888888889,212.272261035483,0.00382421,-0.00117579,2024,0.9999999537037038
WIFUSDT,2024-02-07 04:00:00.000,2024-02-07 20:00:00.000,4,16.0,447.93384,0.00168954,-0.0033104600000000003,2024,0.6666666666666666
WIFUSDT,2024-02-13 16:00:00.000,2024-02-15 04:00:00.000,9,36.0,212.59206,0.0064962,0.0014961999999999996,2024,1.5
WIFUSDT,2024-02-21 04:00:00.000,2024-02-21 12:00:00.000,2,8.0,137.72034,0.00024738,-0.00475262,2024,0.3333333333333333
WIFUSDT,2024-02-24 08:00:00.001,2024-02-24 20:00:00.000,3,11.999999722222222,109.93361236572137,0.0010244199999999998,-0.00397558,2024,0.4999999884259259
WIFUSDT,2024-02-27 00:00:00.000,2024-03-08 04:00:00.000,61,244.0,254.18893765200957,0.06759541000000001,0.06259541,2024,10.166666666666666
WIFUSDT,2024-03-08 16:00:00.000,2024-03-16 12:00:00.000,47,188.0,227.85855,0.027246740000000005,0.022246740000000004,2024,7.833333333333333
WIFUSDT,2024-03-26 20:00:00.000,2024-03-29 20:00:00.000,18,72.0,216.33477000000002,0.0072026799999999995,0.0022026799999999994,2024,3.0
WIFUSDT,2024-03-30 16:00:00.000,2024-04-02 04:00:00.000,15,60.0,198.36583377540512,0.00670777,0.00170777,2024,2.5
WLDUSDT,2024-03-03 16:00:00.000,2024-03-06 00:00:00.000,7,56.0,117.10368,0.00676607,0.0017660699999999998,2024,2.3333333333333335
WLDUSDT,2024-03-10 00:00:00.000,2024-03-15 16:00:00.000,17,136.0,146.64897000000002,0.01179283,0.006792830000000001,2024,5.666666666666667
XAIUSDT,2024-03-02 00:00:00.000,2024-03-05 20:00:00.000,23,92.0,122.63343,0.01333734,0.008337339999999999,2024,3.8333333333333335
XAIUSDT,2024-03-09 04:00:00.000,2024-03-12 16:00:00.000,21,84.0,112.46526000000001,0.00942931,0.00442931,2024,3.5
XLMUSDT,2020-02-06 16:00:00.000,2020-02-16 08:00:00.000,29,232.0,123.21049499999998,0.03675400000000001,0.03175400000000001,2020,9.666666666666666
XLMUSDT,2020-08-06 16:00:00.000,2020-08-08 00:00:00.000,4,32.0,135.56869795072518,0.00219835,-0.00280165,2020,1.3333333333333333
XLMUSDT,2020-08-12 00:00:00.000,2020-08-12 08:00:00.000,1,8.0,105.33133865733815,0.00018431,-0.00481569,2020,0.3333333333333333
XLMUSDT,2020-08-15 00:00:00.000,2020-08-19 00:00:00.000,12,96.0,161.079975,0.014671530000000002,0.009671530000000001,2020,4.0
XLMUSDT,2020-11-22 08:00:00.000,2020-11-26 08:00:00.002,12,96.00000055555554,113.56794471665708,0.01277031,0.00777031,2020,4.000000023148147
XLMUSDT,2021-01-04 08:00:00.000,2021-01-05 08:00:00.003,3,24.00000083333333,221.86890000000002,0.00178447,-0.0032155300000000003,2021,1.0000000347222222
XLMUSDT,2021-01-10 08:00:00.005,2021-01-11 08:00:00.012,3,24.000001944444445,298.68424500000003,0.00145946,-0.00354054,2021,1.0000000810185186
XLMUSDT,2021-01-15 08:00:00.000,2021-01-16 00:00:00.000,2,16.0,101.91275207727446,0.00133442,-0.00366558,2021,0.6666666666666666
XLMUSDT,2021-01-17 00:00:00.009,2021-01-20 16:00:00.001,11,87.99999777777778,124.67560500000002,0.01381064,0.008810640000000002,2021,3.6666665740740743
