year,эпизодов,в_плюсе,медиана_net_pct,сумма_net_pct,взято,сим_usd,верх_usd
2020,170,52.352941176470594,0.05439149999999998,66.227475,59,597.2732333333333,6622.7475
2021,615,62.926829268292686,0.6424599999999998,1001.026853,48,2749.839566666667,100102.6853
2023,37,21.62162162162162,-0.211307,-5.126828000000001,18,26.271499999999982,-512.6828
2024,233,67.81115879828327,0.3138309999999999,104.92470800000002,54,283.50449999999995,10492.470800000003
2025,43,20.930232558139537,-0.328043,-7.729367999999999,43,-257.6456,-772.9368
2026,27,3.7037037037037033,-0.397919,-8.497734,27,-283.25780000000003,-849.7734
