kind,key,n_inst,days,ret_pct,cagr_pct,vol_pct,sharpe,t,maxdd_pct,bench_ret_pct,bench_sharpe,long_pct,short_pct,cost_pct,funding_pct,flips
year,2019,6.214592274678112,233,4.370219257368313,4.696453301706005,5.037595293713415,0.9362194514982156,0.9038276355538669,-4.921154937760786,4.511635024146332,3.5647468369361293,,,,,
year,2020,8.0,248,-6.59900950586263,-6.650417295670563,8.276288335718785,-0.7900830477247374,-0.7869163694596736,-11.737736046832726,3.13207413359482,0.4339310147397109,,,,,
year,2021,8.0,255,8.394893026346306,8.223698986054773,8.760186513233432,0.9460332710534126,0.9554467692858771,-9.95904865772619,10.009792692700747,1.3226145356511183,,,,,
year,2022,8.0,251,16.3025397896186,16.232582521262874,14.482801963690516,1.1081532721283294,1.1103673667876042,-6.397785264236688,6.632882904306903,0.46193606680615173,,,,,
year,2023,8.988188976377952,254,12.15727433681928,11.95481129473106,5.2264159833815365,2.1871987994641744,2.204626953883937,-4.608729837883374,14.802533652807991,1.9720315379058506,,,,,
year,2024,8.9921875,256,6.546389496010807,6.388160140917121,7.315348138467997,0.8830478580756874,0.8935816046247308,-5.912616102769475,-7.503959794097215,-0.7888309887476402,,,,,
year,2025,8.996062992125983,254,4.446023918493491,4.374498396263005,5.587679237456131,0.7941215926518803,0.8004493547868062,-3.0008358363801,-6.047125641607954,-0.8024103556783444,,,,,
year,2026,9.0,181,7.8740641768701325,11.036439309579027,7.32866269541209,1.465217350702619,1.2467269166081243,-3.8217618827633526,-3.1448835085097215,-0.49909722098334197,,,,,
instrument,BR,,1862,6.827040069739843,0.8906357404375953,13.092228009429046,0.13301510730510405,0.36301185078355275,-34.62524907457033,,0.25180789370467255,19.601491193614258,-6.056415940271679,-0.5746505357183086,0.0,86.0
instrument,CR,,1008,41.75207577091242,9.038960651291394,12.72988930039752,0.7433834975929525,1.4927022163706725,-13.26589644872186,,-0.6353411662974672,14.747358264065072,23.586368371263195,-0.17814603869859139,0.0,23.0
instrument,Eu,,1890,43.03703377521462,4.848439309818442,12.487323896325949,0.4416188007291284,1.21425094959411,-18.7663687825083,,0.2159691536782211,22.026339947590373,20.065548330928202,-0.4012325327264801,0.0,50.0
instrument,GD,,1875,69.47870235287263,7.287390927011073,12.972407913409494,0.6072767109789224,1.6630957662535049,-35.188736584588995,,1.0653743621943055,79.29878492870075,-19.22583369605893,-0.9891421491498341,0.0,65.0
instrument,GZ,,1871,92.77728496392157,9.166328384921062,13.123583318426881,0.7339592577558347,2.007885031885165,-25.631734706049336,,-0.5572775004831237,36.81895051797592,35.7299602606782,-0.46170955002709513,0.0,43.0
instrument,MX,,1873,66.8366565469364,7.070668017969783,13.329482531025128,0.5793962384955793,1.5858954596258021,-29.644408801581946,,-0.22310602008174857,37.631493750535014,20.885887301940464,-0.6562751720283255,0.0,52.0
instrument,RI,,1880,8.298374226482142,1.0657448303084571,12.310160780463008,0.1476272574205084,0.40483259459179904,-29.223894934163585,,-0.1315938930699054,2.8964611733927725,11.414389490821316,-0.644639800536152,0.0,124.0
instrument,SR,,1851,32.788453435060475,3.904484969401789,13.854967578461219,0.3451821361900582,0.9392506777743601,-30.95593468894775,,0.1912407629406787,24.579439513270604,11.66602394515756,-0.8359274479342559,0.0,90.0
instrument,Si,,1869,91.97489375162971,9.115680054065734,15.253738162843975,0.6447851733484602,1.762989349996349,-19.107542759725003,,0.3208052047259229,53.933556165946605,19.84872231759497,-0.2529461629142613,0.0,51.0
