symbol,oos_return_%,oos_sharpe,oos_max_dd_%,trades,n_windows
v.us,6.062984717881181,1.3746153094143678,-5.947098976109178,14,6
amzn.us,4.32172535054014,0.9149229656990154,-9.92850455357901,15,6
nvda.us,1.1886923297897978,0.6896429830422611,-2.430402455010383,4,6
jpm.us,0.8465766504907712,0.47008642629403835,-3.5802180179811516,7,6
aapl.us,0.8295253169576577,0.37903029298823143,-5.276358972890871,10,6
tsla.us,-0.9974941563354323,-0.5143874839131894,-3.9540893247016484,9,6
googl.us,-4.073890955217818,-1.543640251047999,-6.835835067711105,12,6
msft.us,-4.221984962451919,-1.9690954142298707,-6.095317188480854,12,6
hd.us,-7.460684271243723,-2.798333499081691,-7.6163068645943355,16,6
unh.us,-15.64601937204383,-3.490188841250173,-16.1592699068021,13,6
nflx.us,-12.748308108737172,-3.7296249948536664,-14.503737593102828,14,6
meta.us,-11.978933067168896,-4.015041496063125,-13.221870022399962,13,6
