symbol,variant,total_return_%,buy_hold_%,sharpe,max_drawdown_%,trades,win_rate_%
btc.v,fair_price,10.268804622037742,887.650099126987,0.3095873661560636,-13.382282970264347,43,53.48837209302325
btc.v,lead_lag,27.968990589188735,887.650099126987,0.5832933316180259,-11.591272793555662,33,39.39393939393939
btc.v,corr_break,-2.0104149503086255,887.650099126987,-0.09584904512815214,-7.907770636331257,1,0.0
btc.v,base_ens,36.07811717138449,887.650099126987,0.7013567194788332,-15.397350430596513,47,23.404255319148938
btc.v,full_ens,17.225724661994146,887.650099126987,0.539059292537055,-7.952538131008414,33,54.54545454545454
eth.v,fair_price,6.10043214579945,1448.7328208711858,0.19260709382767116,-16.531233553445812,42,59.523809523809526
eth.v,lead_lag,38.96198586593367,1448.7328208711858,0.7214894578177866,-12.215660709885656,20,45.0
eth.v,corr_break,0.0,1448.7328208711858,0.0,0.0,0,0.0
eth.v,base_ens,73.46650377116883,1448.7328208711858,0.9767095238271913,-13.865222679888756,48,25.0
eth.v,full_ens,15.557542687114179,1448.7328208711858,0.47823217279283164,-12.245438289705234,32,53.125
ada.v,fair_price,-1.5182773672453687,600.4971027752364,-0.012911316828180034,-12.304628734003686,44,43.18181818181818
ada.v,lead_lag,107.9226996421128,600.4971027752364,0.824161623668391,-21.677832958407194,32,21.875
ada.v,corr_break,2.731312490587512,600.4971027752364,0.15347228256115955,-58.29328227272471,1,0.0
ada.v,base_ens,113.14758185942044,600.4971027752364,0.9098548410431594,-24.297367876775432,56,46.42857142857143
ada.v,full_ens,10.471734302032987,600.4971027752364,0.2952058583025778,-10.253296538114542,46,47.82608695652174
sol.v,fair_price,5.712850751600884,9744.754818248355,0.22629480818350337,-7.6271750991461555,40,50.0
sol.v,lead_lag,240.97657806497273,9744.754818248355,1.0063728876089622,-30.606506895166696,29,58.620689655172406
sol.v,corr_break,-2.2828328989141666,9744.754818248355,-0.03034956858616017,-13.330016874781702,1,0.0
sol.v,base_ens,31.139735353402664,9744.754818248355,0.7457177510073115,-10.036478617847976,57,33.33333333333333
sol.v,full_ens,3.4931806554707956,9744.754818248355,0.10842589583415926,-29.24049860483925,40,47.5
