symbol,variant,total_return_%,buy_hold_%,sharpe,max_drawdown_%,trades,win_rate_%
btc.v,round_levels,49.531861945288135,887.650099126987,0.7863622392066877,-18.632394144751984,68,20.588235294117645
btc.v,rsi_divergence,7.660875882841012,887.650099126987,0.6189265405858598,-2.3248465430901977,1,100.0
btc.v,exhaustion,7.67833082605851,887.650099126987,0.3792280350015349,-6.805636532474956,17,58.82352941176471
btc.v,ensemble,36.07811717138449,887.650099126987,0.7013567194788332,-15.397350430596513,47,23.404255319148938
eth.v,round_levels,49.21554429758592,1448.7328208711858,0.8212028326126499,-14.658144824118423,81,17.28395061728395
eth.v,rsi_divergence,0.0,1448.7328208711858,0.0,0.0,0,0.0
eth.v,exhaustion,15.506204900542997,1448.7328208711858,0.6875817942641331,-5.233707339014049,28,71.42857142857143
eth.v,ensemble,73.46650377116883,1448.7328208711858,0.9767095238271913,-13.865222679888756,48,25.0
sol.v,round_levels,75.07191570576768,9744.754818248355,0.9797153449136201,-14.802747837650099,91,23.076923076923077
sol.v,rsi_divergence,-3.977877284779008,9744.754818248355,-0.4820669678784628,-7.784420184321405,2,0.0
sol.v,exhaustion,-10.73115398190837,9744.754818248355,-0.5397015109748244,-11.105178214613066,36,50.0
sol.v,ensemble,31.139735353402664,9744.754818248355,0.7457177510073115,-10.036478617847976,57,33.33333333333333
ada.v,round_levels,51.92914997360425,600.4971027752364,0.8351944816105064,-14.494573719955273,90,23.333333333333332
ada.v,rsi_divergence,5.061300215180409,600.4971027752364,0.249698044187917,-9.362490166585713,4,25.0
ada.v,exhaustion,9.038217934404159,600.4971027752364,0.3206010268753804,-8.15314198984236,33,51.515151515151516
ada.v,ensemble,113.14758185942044,600.4971027752364,0.9098548410431594,-24.297367876775432,56,46.42857142857143
